43.5126111810,-79.6329771623
43.5126093215,-79.6329722555
43.5125990498,-79.6329415578
43.5125859741,-79.6329022631
43.5125765730,-79.6328690714
43.5125716876,-79.6328370150
43.5125696654,-79.6328185029
43.5125629922,-79.6327122558
43.5125624744,-79.6326689661
43.5125638014,-79.6326293463
43.5125677844,-79.6325859550
43.5125763423,-79.6325486462
43.5125938427,-79.6325061868
43.5126141324,-79.6324710874
43.5126433497,-79.6324296005
43.5127773372,-79.6322645029
43.5133782768,-79.6330476854
43.5135072418,-79.6332155079
43.5143498990,-79.6343347284
43.5146334731,-79.6347069234
43.5146334731,-79.6347069234
43.5146993342,-79.6347932814
43.5151770507,-79.6354382453
43.5153893451,-79.6357229751
43.5160290868,-79.6365907218
43.5165042109,-79.6372456703
43.5166882417,-79.6375013542
43.5180008938,-79.6393030084
43.5189089352,-79.6405496075
43.5189089352,-79.6405496075
43.5191835319,-79.6409257727
43.5213690493,-79.6439008215
43.5222355664,-79.6450668202
43.5232022124,-79.6464013739
43.5240174752,-79.6474992930
43.5242179356,-79.6477757084
43.5243277857,-79.6479279323
43.5245162209,-79.6481773957
43.5256453483,-79.6497781874
43.5268068503,-79.6514538030
43.5272213900,-79.6520942450
43.5272213900,-79.6520942450
43.5274304954,-79.6524175221
43.5278266910,-79.6530299230
43.5287985482,-79.6544326727
43.5290314157,-79.6547863760
43.5297117462,-79.6558256323
43.5304003000,-79.6568758672
43.5305358810,-79.6570733413
43.5311954869,-79.6580363793
43.5323662642,-79.6597455143
43.5342943534,-79.6625394508
43.5362231460,-79.6653224095
43.5368449538,-79.6662159122
43.5375796109,-79.6653605587
43.5375796109,-79.6653605587
43.5380362198,-79.6648294121
43.5383293907,-79.6644899978
43.5387097658,-79.6640620144
43.5391861000,-79.6635242235
43.5401601329,-79.6624283397
43.5408986214,-79.6615950873
43.5409546806,-79.6615381476
43.5410266677,-79.6614573378
43.5411333559,-79.6613411025
43.5411991140,-79.6612666189
43.5412702587,-79.6611907782
43.5413608303,-79.6610823252
43.5414398735,-79.6609889804
43.5415188877,-79.6608931604
43.5416014154,-79.6607898357
43.5416750428,-79.6606953723
43.5417566847,-79.6605933045
43.5418409400,-79.6604837518
43.5419012095,-79.6604019613
43.5419738204,-79.6602976171
43.5420455309,-79.6601932926
43.5421163122,-79.6600865129
43.5421852785,-79.6599785354
